CharacterName,WikiLink,Source,Sentiment
Siena Blaze,Siena Blaze,Marvel,5.376813008130081
Blazing Skull,Blazing Skull,Marvel,5.4199142857142855
Blindfold,Blindfold (comics),Marvel,5.322232597623089
Blindspot,Blindspot (comics),Marvel,5.3941865357643755
Bling!,Bling!,Marvel,5.291250000000001
Blink,Blink (comics),Marvel,5.33
Bliss,Bliss (Marvel Comics),Marvel,5.904444444444445
Blizzard,Blizzard (Marvel Comics),Marvel,5.319798127559976
Blob,Blob (comics),Marvel,5.360384615384614
Blockbuster_Marvel,Blockbuster (Marauder),Marvel,5.468278560250392
Blonde Phantom,Blonde Phantom,Marvel,5.5699217118997915
Blood Brothers,Blood Brothers (comics),Marvel,5.3381510232886376
Bloodaxe,Bloodaxe (comics),Marvel,5.33
Bloodhawk,Bloodhawk,Marvel,5.329788867562381
Bloodscream,Bloodscream,Marvel,5.273768221574344
Bloodshed,Bloodshed (comics),Marvel,5.33
Cullen Bloodstone,Cullen Bloodstone,Marvel,5.2895585412667945
Elsa Bloodstone,Elsa Bloodstone,Marvel,5.433426403641882
Ulysses Bloodstone,Ulysses Bloodstone,Marvel,5.372580181905217
Bloodstrike,Bloodstrike (Marvel Comics),Marvel,5.517975609756097
Blue Diamond,Blue Diamond (comics),Marvel,5.569999999999999
Blue Eagle,Blue Eagle (comics),Marvel,5.442380952380952
Blue Marvel,Blue Marvel,Marvel,5.479383540844215
Blue Shield,Blue Shield (comics),Marvel,5.489347826086957
Blue Streak_Bluestreak,Blue Streak (comics),Marvel,5.436789423984891
"Bob, Agent of HYDRA","Bob, Agent of HYDRA",Marvel,5.170800000000001
Elias Bogan,Elias Bogan,Marvel,5.396993006993007
Bolt,Chris Bradley,Marvel,5.359575045207956
Bonebreaker,Bonebreaker,Marvel,5.4055182481751824
Alexander Bont,Alexander Bont,Marvel,5.450610591900312
Boom-Boom,Tabitha Smith,Marvel,5.342150960870572
Boomerang,Boomerang (comics),Marvel,5.33
Bova,Bova (comics),Marvel,5.5012463768115945
Box,Box (comics),Marvel,5.3746103286384965
Jamie Braddock,Jamie Braddock,Marvel,5.332853535353535
Isaiah Bradley,Isaiah Bradley,Marvel,5.485367556468172
Brain Drain,Brain Drain (comics),Marvel,5.328095238095238
Brainchild,Brainchild (comics),Marvel,5.367777777777778
Abigail Brand,Abigail Brand,Marvel,5.347232802176448
Betty Brant,Betty Brant,Marvel,5.428157519600855
G. W. Bridge,G. W. Bridge,Marvel,5.294752
Brimstone Love,Brimstone Love,Marvel,5.6688888888888895
Brother Tode,Brother Tode,Marvel,5.755
Brother Voodoo,Brother Voodoo,Marvel,5.40366769020812
Brothers Grimm,Brothers Grimm (comics),Marvel,5.429364675984752
Bruiser,Molly Hayes,Marvel,5.397056362293871
Brute,Brute (Reed Richards),Marvel,5.50432
Bucky,Bucky (Marvel Comics),Marvel,5.405637991685322
Paul Budiansky,Paul Budiansky,Marvel,5.4316666666666675
Bug,Bug (comics),Marvel,5.382031602708803
Bulldozer,Bulldozer (comics),Marvel,5.33
Bullseye,Bullseye (comics),Marvel,5.3707692307692305
Bulwark,Bulwark (comics),Marvel,5.737500000000001
Nathaniel Bumpo,Nathaniel Bumpo,Marvel,5.43
Burglar,Burglar (comics),Marvel,5.33
Burner,Burner (comics),Marvel,5.399411764705882
Bushman,Bushman (comics),Marvel,5.33
Bushmaster,Bushmaster (Marvel Comics),Marvel,5.357666666666667
Bushwacker,Bushwacker (comics),Marvel,5.297446808510639
Butterfly,Layla Miller,Marvel,5.361409317316143
Buzz,Buzz (Marvel Comics),Marvel,5.4066334991708125
Byrrah,Byrrah,Marvel,5.29
Tatiana Caban,Tatiana Caban,Marvel,5.327142857142857
Bethany Cabe,Bethany Cabe,Marvel,5.378834482758621
Cable,Cable (comics),Marvel,5.362631578947369
Luke Cage,Luke Cage,Marvel,5.394674447877331
Caiman,Caiman (comics),Marvel,5.597872340425533
Caliban,Caliban (comics),Marvel,5.478461538461539
Callisto,Callisto (comics),Marvel,5.343926987376323
Calypso,Calypso (comics),Marvel,5.3989799870884445
Cammi,Cammi (comics),Marvel,5.5625
Cancer,Cancer (comics),Marvel,5.35
Candra,Candra (comics),Marvel,5.202173913043478
Cannonball,Cannonball (comics),Marvel,5.412352941176471
Capricorn,Capricorn (comics),Marvel,5.450555555555556
Captain,Captain (comics),Marvel,5.502926829268293
Captain America,Captain America,Marvel,5.499544920152836
Captain Atlas,Captain Atlas,Marvel,5.495232558139535
Captain Britain,Captain Britain,Marvel,5.3988528181637125
Captain Fate,Captain Fate,Marvel,5.5200000000000005
Captain Marvel_Marvel,Captain Marvel (Marvel Comics),Marvel,5.434473026080743
Captain Midlands,Captain Midlands,Marvel,5.491914098972923
Captain Savage,Captain Savage,Marvel,5.287058823529413
Captain Spider,Flash Thompson,Marvel,5.370408641975309
Captain UK,Captain Britain Corps,Marvel,5.367916666666667
Captain Ultra,Captain Ultra,Marvel,5.5209090909090905
Captain Universe,Captain Universe,Marvel,5.425880791998367
Captain Wonder,Captain Wonder (Timely Comics),Marvel,5.507708978328173
Cardiac,Cardiac (comics),Marvel,5.196315789473684
Cardinal,Cardinal (comics),Marvel,5.319947229551452
Caretaker,Caretaker (comics),Marvel,5.298092074038918
Carnage,Carnage (character),Marvel,5.3289005235602085
Carnivore,Carnivore (comics),Marvel,5.392580645161291
Carrion,Carrion (comics),Marvel,5.263847203274216
Peggy Carter,Peggy Carter,Marvel,5.508246492985973
Sharon Carter,Sharon Carter,Marvel,5.422623160588612
Tyrone Cash,Tyrone Cash,Marvel,5.413817733990147
Catseye,Catseye (comics),Marvel,5.41333000997009
Cell,Cell (comics),Marvel,5.686
Centurious,Centurious,Marvel,5.335913043478261
Centurius,Centurius,Marvel,5.303549488054607
Cerebra,Cerebra,Marvel,5.325
Cerise,Cerise (comics),Marvel,5.46750830564784
Challenger,Challenger (comics),Marvel,5.33
Chamber,Chamber (comics),Marvel,5.337368421052632
Chameleon,Chameleon (comics),Marvel,5.478461538461539
Champion of the Universe,Champion of the Universe,Marvel,5.3710622154779974
Marlo Chandler,Marlo Chandler,Marvel,5.410448548812664
Robin Chapel,Damage Control (comics),Marvel,5.352568231441048
Charcoal,Charcoal (comics),Marvel,5.469299242424242
Charlie-27,Charlie-27,Marvel,5.537750287686997
Charon,Charon (Marvel Comics),Marvel,5.3424340770791074
Chemistro,Chemistro,Marvel,5.269824086603519
Zhou Cheng,Zhou Cheng,Marvel,5.328766114180479
Cheshire Cat,Cheshire Cat (comics),Marvel,5.478250460405157
Amadeus Cho,Amadeus Cho,Marvel,5.329285714285714
Ch'od,Ch'od,Marvel,5.409919463087249
Chondu the Mystic,Chondu the Mystic,Marvel,5.481361702127659
Andrew Chord,Andrew Chord,Marvel,5.389049959049959
Chronomancer,Trevor Fitzroy,Marvel,5.2810354815351195
Cipher,Cipher (comics),Marvel,5.51200643776824
Citizen V,Citizen V,Marvel,5.312862957937584
Clea,Clea,Marvel,5.484087452471482
Albert Cleary,Damage Control,Marvel,4.75
Cloak,Cloak and Dagger (comics),Marvel,5.189047619047618
Cloud 9,Cloud 9 (comics),Marvel,5.420905695611577
Coachwhip,Coachwhip (comics),Marvel,5.3358823529411765
Coal Tiger,Coal Tiger,Marvel,5.472176079734219
Cobalt Man,Cobalt Man,Marvel,5.128333333333333
Cobra,Cobra (Marvel Comics),Marvel,5.369491128222298
Malcolm Colcord,Malcolm Colcord,Marvel,5.296090444930708
Coldblood,Coldblood,Marvel,5.4053083923154706
Collective Man,Collective Man,Marvel,5.422165289256199
Collector,Collector (comics),Marvel,5.33
Rusty Collins,Rusty Collins,Marvel,5.3078857630008525
Colonel,Ultimate Red Guardian,Marvel,5.594
Colossus,Colossus (comics),Marvel,5.33
Comanche,Comanche (comics),Marvel,5.297341337907376
Comet Man,Comet Man,Marvel,5.439361702127659
Commander Kraken,Commander Kraken,Marvel,5.381338432122371
Conan,Conan (Marvel Comics),Marvel,5.4825
Condor,Condor (comics),Marvel,5.336520509193776
Billy Connors,Billy Connors (comics),Marvel,5.293157894736843
Martha Connors,Martha Connors,Marvel,5.412817679558011
Conquest,Conquest (comics),Marvel,5.394
Constrictor,Constrictor (comics),Marvel,5.33
Contemplator,Contemplator (Marvel Comics),Marvel,5.411
Controller,Controller (Marvel Comics),Marvel,5.357484057971014
Jen Cooke,Jen Cooke,Marvel,5.43
Finn Cooley,Finn Cooley,Marvel,5.304583333333334
Carlie Cooper,Carlie Cooper,Marvel,5.337224824355973
Valerie Cooper,Valerie Cooper,Marvel,5.387653814602133
Copperhead,Copperhead (Marvel Comics),Marvel,5.408746908491344
Anya Corazon,Anya Corazon,Marvel,5.409005619350111
Peter Corbeau,Peter Corbeau,Marvel,5.363133333333334
Edwin Cord,Edwin Cord,Marvel,5.286855345911949
Abraham Cornelius,Abraham Cornelius,Marvel,5.313006088280061
Archie Corrigan,Archie Corrigan,Marvel,5.3914331723027376
Corruptor,Corruptor (comics),Marvel,5.2412
Corsair,Corsair (comics),Marvel,5.33915294117647
Tom Corsi,Tom Corsi,Marvel,5.3653419593345655
Fabian Cortez,Fabian Cortez,Marvel,5.231980127750178
Cosmo the Spacedog,Cosmo the Spacedog,Marvel,5.4295513577331755
Cottonmouth,Cottonmouth (Cornell Cottonmouth),Marvel,5.204615384615384
Phil Coulson,Phil Coulson,Marvel,5.4275574063057705
Cowgirl,Cowgirl (comics),Marvel,5.42047619047619
Graydon Creed,Graydon Creed,Marvel,5.279134925758554
Crime Master,Crime Master,Marvel,5.255485893416928
Crimson Cavalier,Crimson Cavalier,Marvel,5.567777777777779
Crimson Commando,Crimson Commando,Marvel,5.380823620823621
Crimson Curse,Crimson Curse,Marvel,4.974117647058823
Crimson Dynamo,Crimson Dynamo,Marvel,5.371272977941177
Crippler,Crippler (comics),Marvel,5.33
Darren Cross,Darren Cross,Marvel,5.523808
Crossbones,Crossbones (comics),Marvel,5.33
Crossfire,Crossfire (comics),Marvel,5.246190476190476
Crucible,Enclave (comics),Marvel,5.363750981932443
Crusader,Crusader (Marvel Comics),Marvel,5.368900646678425
Crusher,Crusher (comics),Marvel,5.349026047565119
Crystal,Crystal (comics),Marvel,5.4573684210526325
Cyber,Cyber (Marvel Comics),Marvel,5.314171575846833
Cyclone_Marvel,Cyclone (Marvel Comics),Marvel,5.322808398950131
Cyclops,Cyclops (Marvel Comics),Marvel,5.341042609645701
Cypher,Cypher (comics),Marvel,5.434090909090909
Cyttorak,Cyttorak,Marvel,5.31045634920635
Dagger,Dagger (comics),Marvel,5.458
Daken,Daken,Marvel,5.331300364001506
Dakimh the Enchanter,Dakimh the Enchanter,Marvel,5.408496835443038
Daredevil,Daredevil (Marvel Comics character),Marvel,5.441775434118161
Dark Beast,Dark Beast,Marvel,5.187647250244061
Darkdevil,Darkdevil,Marvel,5.477076372315037
Darkhawk,Darkhawk,Marvel,5.346276744651069
Darkoth,Darkoth,Marvel,5.3440762463343106
Darkstar,Darkstar (Marvel Comics),Marvel,5.452263322884013
Darwin,Darwin (comics),Marvel,5.3707692307692305
Spacker Dave,Spacker Dave,Marvel,5.408333333333334
Daytripper,Amanda Sefton,Marvel,5.391642259414227
Dazzler,Dazzler (Marvel Comics),Marvel,5.4600627716079195
Dead Girl,Dead Girl,Marvel,5.47728813559322
Deadpool,Deadpool,Marvel,5.434776283515183
Frank and Leslie Dean,Pride (comics),Marvel,5.364643403308773
Death_Marvel,Death (Marvel Comics),Marvel,5.336691483025611
Death Adder,Death Adder (comics),Marvel,4.931052631578947
Death Metal,Death Metal (comics),Marvel,5.124065934065934
Death's-Head,Death's Head,Marvel,5.24475672661369
Deathbird,Deathbird,Marvel,5.361404538341158
Deathlok,Deathlok,Marvel,5.377064736630479
Deathwatch,Deathwatch (comics),Marvel,5.24581947743468
Debrii,Debrii,Marvel,5.4174490785645
Valentina Allegra de Fontaine,Valentina Allegra de Fontaine,Marvel,5.343532582067613
Marco Delgado,Marco Delgado (comics),Marvel,5.604000000000001
Delilah,Delilah (comics),Marvel,5.650526315789475
Delphi,Delphi (Pantheon),Marvel,5.366190476190477
Demogoblin,Demogoblin,Marvel,5.317927424982554
Demolition Man,Demolition Man (comics),Marvel,5.397343671835919
Demon Bear,Demon Bear,Marvel,5.354560301507537
Desak,Desak,Marvel,5.37797153024911
Destiny,Destiny (Irene Adler),Marvel,5.449939947780679
Destroyer,Destroyer (Keen Marlow),Marvel,5.2375
Detroit Steel,Detroit Steel,Marvel,5.392834685598378
Devastator,Devastator (comics),Marvel,5.3527114967462035
Devil Dinosaur,Devil Dinosaur,Marvel,5.332563626230727
Devil-Slayer,Devil-Slayer (comics),Marvel,5.060000000000001
Devos the Devastator,Devos the Devastator,Marvel,5.358890977443609
Jean DeWolff,Jean DeWolff,Marvel,5.354014401440144
Diablo,Diablo (Marvel Comics),Marvel,5.394517587939698
Diamond Lil,Diamond Lil (Marvel Comics),Marvel,5.401851851851852
Diamondback,Diamondback (Willis Stryker),Marvel,5.29257731958763
Diamondhead,Diamondhead (comics),Marvel,5.3911999999999995
Digger,Digger (Marvel Comics),Marvel,5.356353065539112
Digitek,Digitek (comics),Marvel,5.3602550335570465
Dinah Soar,Dinah Soar,Marvel,5.4613319238900635
Dionysus,Dionysus (Marvel Comics),Marvel,5.764
Dirtnap,Dirtnap (comics),Marvel,5.202173913043478
D'Ken,D'Ken,Marvel,5.166153846153846
D.O.A.,Hellions (comics),Marvel,5.5200000000000005
Doc Samson,Doc Samson,Marvel,5.368865393360618
Doctor Bong,Doctor Bong,Marvel,5.414350086655112
Doctor Demonicus,Doctor Demonicus,Marvel,5.3386956521739135
Doctor Doom,Doctor Doom,Marvel,5.296671748563387
Doctor Druid,Doctor Druid,Marvel,5.4096174863387985
Doctor Faustus,Doctor Faustus (comics),Marvel,5.449091821374812
Doctor Minerva,Doctor Minerva,Marvel,5.51248959778086
Doctor Nemesis,Doctor Nemesis,Marvel,5.287412523020259
Doctor Octopus,Doctor Octopus,Marvel,5.356856902356903
Doctor Spectrum,Doctor Spectrum,Marvel,5.452178260869565
Doctor Strange,Doctor Strange,Marvel,5.451767617938264
Doctor Voodoo,Daniel Drumm,Marvel,5.347527200791296
Domino,Domino (comics),Marvel,5.33
Big Ben Donovan,Big Ben Donovan,Marvel,5.309393125671321
Roger Dooley,Roger Dooley,Marvel,5.439832061068702
Doom 2099,Doom 2099,Marvel,5.299216772151899
Doorman,Doorman (comics),Marvel,5.440440755580997
Doop,Doop (comics),Marvel,5.33
Dorma,Dorma (comics),Marvel,5.430852459016393
Dormammu,Dormammu,Marvel,5.373993783993784
Doughboy,Doughboy (comics),Marvel,5.33
Dracula,Dracula (Marvel Comics),Marvel,5.365669887699139
Dragon Lord,Dragon Lord (comics),Marvel,5.506468646864688
Dragon Man,Dragon Man (comics),Marvel,5.423333333333334
Damon Dran,Damon Dran,Marvel,5.338925199709514
Drax the Destroyer,Drax the Destroyer,Marvel,5.505745349118144
Dreadknight,Dreadknight,Marvel,5.371458563535912
Dreadnought,Dreadnought (comics),Marvel,5.443572496263079
Dredmund Druid,Dredmund Druid,Marvel,5.355000000000001
Druig,Druig,Marvel,5.505339578454332
Dryad,Dryad (comics),Marvel,5.50338003502627
D'Spayre,D'Spayre,Marvel,5.2998009608785175
Dum-Dum Dugan,Dum-Dum Dugan,Marvel,5.130666666666667
Dusk,Dusk (comics),Marvel,5.342017133956386
Dust,Dust (comics),Marvel,5.147894736842105
Dweller-in-Darkness,Dweller-in-Darkness,Marvel,5.2418093249826025
Earth Lord,Earth Force (Marvel Comics),Marvel,5.456470588235294
Ebon Samurai,Ebon Samurai,Marvel,5.361775147928994
Echo,Echo (Marvel Comics),Marvel,5.507993818488339
Ectokid,Ectokid,Marvel,5.478067885117493
Ethan Edwards,Ethan Edwards,Marvel,5.438468125594672
Eel,Eel (comics),Marvel,5.33821768707483
Egghead,Egghead (Marvel Comics),Marvel,5.380779137153895
Ego the Living Planet,Ego the Living Planet,Marvel,5.423644748586731
Eitri,Eitri (comics),Marvel,5.33
El Aguila,El Aguila,Marvel,5.431687116564418
Electro,Electro (Marvel Comics),Marvel,5.375185150108912
Elixir,Elixir (comics),Marvel,5.33
Elsie-Dee,Elsie-Dee,Marvel,5.377145945945945
Elysius,Elysius (comics),Marvel,5.186875000000001
Empath,Empath (comics),Marvel,5.337881578947369
Enchantress_Marvel,Enchantress (Marvel Comics),Marvel,5.4603500195541645
Energizer,Katie Power,Marvel,5.478437195715676
Enforcer,Enforcer (comics),Marvel,5.250338524035207
Ent,Ent (comics),Marvel,5.427307692307693
Equinox,Equinox (comics),Marvel,5.457826617826618
Ereshkigal,Ereshkigal (Marvel Comics),Marvel,5.430247678018575
Eric the Red,Eric the Red (comics),Marvel,5.404117647058824
Erg,Erg (comics),Marvel,5.420750988142292
Eternity,Eternity (comics),Marvel,5.516026232693709
E.V.A.,Fantomex,Marvel,5.29083214115403
Everyman,Everyman (Marvel Comics),Marvel,5.391753246753246
Ex Nihilo,Ex Nihilo (comics),Marvel,5.3523777019340155
Executioner,Executioner (comics),Marvel,5.33
Exodus,Exodus (comics),Marvel,5.300555953233119
Ezekiel,Ezekiel (comics),Marvel,5.389181326116374
Falcon,Falcon (comics),Marvel,5.523342748880469
Fancy Dan,Fancy Dan,Marvel,5.7309090909090905
Fandral,Fandral,Marvel,5.4740739236393186
Fantomex,Fantomex,Marvel,5.2911781540663005
Fasaud,Fasaud,Marvel,5.250909090909091
Fatale,Fatale (Marvel Comics),Marvel,5.268324447829398
Father Time,Father Time (Marvel Comics),Marvel,5.515986301369863
Fenris Wolf,Fenris Wolf (Marvel Comics),Marvel,5.594814814814815
Feral,Feral (comics),Marvel,5.33
Fer-de-Lance,Fer-de-Lance (comics),Marvel,5.329199999999999
Philip Fetter,Saint Sinner (comics),Marvel,5.396457883369331
Fin,Fin (comics),Marvel,5.500921198668147
Fin Fang Foom,Fin Fang Foom,Marvel,5.407550125313284
Finesse,Finesse (character),Marvel,5.415849056603774
Firebird,Firebird (Marvel Comics),Marvel,5.4714694280078895
Firebrand_Marvel,Firebrand (Marvel Comics),Marvel,5.347438848920863
Firelord,Firelord (comics),Marvel,5.400173761946134
Firepower,Firepower (comics),Marvel,5.263641231593039
Firestar,Firestar (Marvel Comics),Marvel,5.427222222222222
Richard Fisk,Richard Fisk,Marvel,5.360990643918547
Vanessa Fisk,Vanessa Fisk,Marvel,5.281993670886076
Leo Fitz,Leo Fitz,Marvel,5.406926680244399
Fixx,Fixx (Marvel comics),Marvel,5.345652173913043
Fixer,Fixer (comics),Marvel,5.412352941176471
Flag-Smasher,Flag-Smasher,Marvel,5.388629976580797
Flashback,Flashback (comics),Marvel,5.320417266187051
Flatman,Flatman (comics),Marvel,5.33
Flex,Flex (comics),Marvel,5.389200561009818
Flipside,Flipside (comics),Marvel,5.545714285714285
Sally Floyd,Sally Floyd (comics),Marvel,5.155555555555555
Flux,Flux (comics),Marvel,5.37
Flying Tiger,Flying Tiger (Marvel Comics),Marvel,5.4546329723225035
Mickey Fondozzi,Mickey Fondozzi,Marvel,5.415013392857143
Foolkiller,Foolkiller,Marvel,5.315547270306258
Forbush Man,Forbush Man,Marvel,5.420996677740864
Force,Force (comics),Marvel,5.363201094391245
Forearm,Forearm (comics),Marvel,5.272816773017321
Foreigner,Foreigner (comics),Marvel,5.33
Forge,Forge (comics),Marvel,5.33
Lee Forrester,Lee Forrester,Marvel,5.359139344262296
Forgotten One,Forgotten One (comics),Marvel,5.131904761904762
Don Fortunato,Don Fortunato,Marvel,5.279535398230089
Dominic Fortune,Dominic Fortune,Marvel,5.459718856034901
Jane Foster,Jane Foster (comics),Marvel,5.3085
Frederick Foswell,Frederick Foswell,Marvel,5.338155136268344
Foxbat,Foxbat (comics),Marvel,5.230384615384616
Foxfire,Foxfire (comics),Marvel,5.234545454545454
Frankenstein's Monster,Frankenstein's Monster (Marvel Comics),Marvel,5.307838827838828
Freak,Freak (Marvel Comics),Marvel,5.578870967741936
Freakshow,Freakshow (comics),Marvel,5.3602613240418115
Free Spirit,Free Spirit (comics),Marvel,5.859259259259259
Freedom Ring,Freedom Ring,Marvel,5.419737903225807
Spike Freeman,Spike Freeman,Marvel,5.2371428571428575
Frenchie,Frenchie (comics),Marvel,5.518968386023294
Frenzy,Frenzy (comics),Marvel,5.442777777777778
Freya,Freya (comics),Marvel,5.33
Friday,F.R.I.D.A.Y.,Marvel,5.390325670498084
Friction,Friction (comics),Marvel,5.544444444444445
Sharon Friedlander,Sharon Friedlander,Marvel,5.424393063583816
Frigga,Frigga (Marvel Comics),Marvel,5.541538461538462
Frog-Man,Frog-Man,Marvel,5.5094086496028245
Adrienne Frost,Adrienne Frost,Marvel,5.428200354609929
Deacon Frost,Deacon Frost,Marvel,5.333357424441525
